franchise.views.organization.phone_seven|Телефон|Telefon
franchise.models.profile.phone|Телефон|Telefon
franchise.views.organization.vendors_list|Список поставщиков ресторана|Lista furnizorilor restaurant-ului
franchise.views.organization.employees_list|Список сотрудников ресторана|Lista angajați-lor restaurant-ului
franchise.views.organization.vendors_name|Имя поставщика|Nume furnizor
franchise.views.organization.phone_five|Телефон|Telefon
franchise.views.organization.vendors_list_two|Список поставщиков ресторана|Lista furnizorilor restaurant-ului
franchise.views.anal.rouble|руб|rub.
franchise.views.anal.turnover|Оборот за период|Cifra pe perioadă
franchise.views.finance.total_income|Общий доход|Venitul total
franchise.views.finance.vendors_name|Имя поставщика|Nume furnizor
franchise.views.finance.total_income_two|Итого заработано|Cîștig total
franchise.views.site.contracts|Договора|Contracte
