Код валюты||Наименование валюты|Краткое наименование стран и территорий
цифровой|буквенный||
840|USD|ДОЛЛАР США|АМЕРИКАНСКОЕ САМОА; БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНДИЙСКОМ ОКЕАНЕ; БОНЭЙР, СИНТ- ЭСТАТИУС И САБА; ВИРГИНСКИЕ ОСТРОВА (БРИТАНСКИЕ); ВИРГИНСКИЕ ОСТРОВА (США); ГАИТИ; ГУАМ; МАЛЫЕ ТИХООКЕАНСКИЕ ОТДАЛЕННЫЕ ОСТРОВА СОЕДИНЕННЫХ ШТАТОВ; МАРШАЛЛОВЫ ОСТРОВА; МИКРОНЕЗИЯ, ФЕДЕРАТИВНЫЕ ШТАТЫ; ОСТРОВА ТЕРКС И КАЙКОС; ПАЛАУ; ПАНАМА; ПУЭРТО-РИКО; СЕВЕРНЫЕ МАРИАНСКИЕ ОСТРОВА; СОЕДИНЕННЫЕ ШТАТЫ; ТИМОР-ЛЕСТЕ; ЭКВАДОР; ЭЛЬ-САЛЬВАДОР
858|UYU|УРУГВАЙСКОЕ ПЕСО|УРУГВАЙ
860|UZS|УЗБЕКСКИЙ СУМ|УЗБЕКИСТАН
882|WST|ТАЛА|САМОА
886|YER|ЙЕМЕНСКИЙ РИАЛ|ЙЕМЕН
901|TWD|НОВЫЙ ТАЙВАНЬСКИЙ ДОЛЛАР|ТАЙВАНЬ (КИТАЙ)
931|CUC|КОНВЕРТИРУЕМОЕ ПЕСО|КУБА
932|ZWL|ДОЛЛАР ЗИМБАБВЕ|ЗИМБАБВЕ
934|TMT|НОВЫЙ ТУРКМЕНСКИЙ МАНАТ|ТУРКМЕНИСТАН
936|GHS|ГАНСКИЙ СЕДИ|ГАНА
937|VEF|БОЛИВАР|ВЕНЕСУЭЛА
938|SDG|СУДАНСКИЙ ФУНТ|СУДАН
940|UYI|УРУГВАЙСКОЕ ПЕСО В ИНДЕКСИРОВАННЫХ ЕДИНИЦАХ|УРУГВАЙ
941|RSD|СЕРБСКИЙ ДИНАР|СЕРБИЯ
943|MZN|МОЗАМБИКСКИЙ МЕТИКАЛ|МОЗАМБИК
944|AZN|АЗЕРБАЙДЖАНСКИЙ МАНАТ|АЗЕРБАЙДЖАН
946|RON|НОВЫЙ РУМЫНСКИЙ ЛЕЙ|РУМЫНИЯ
949|TRY|ТУРЕЦКАЯ ЛИРА|ТУРЦИЯ
950|XAF|ФРАНК КФА ВЕАС|ГАБОН; КАМЕРУН; КОНГО; ЦЕНРАЛЬНО-АФРИКАНСКАЯ  РЕСПУБЛИКА; ЧАД; ЭКВАТОРИАЛЬНАЯ ГВИНЕЯ
951|XCD|ВОСТОЧНО-КАРИБСКИЙ ДОЛЛАР|АНГИЛЬЯ; АНТИГУА И БАРБУДА; ГРЕНАДА; ДОМИНИКА; МОНТСЕРРАТ; СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ; СЕНТ-КИТС И НЕВИС; СЕНТ-ЛЮСИЯ
952|XOF|ФРАНК КФА ВСЕАО|БЕНИН;  БУРКИНА-ФАСО; ГВИНЕЯ-БИСАУ; КОТ-Д'ИВУАР; МАЛИ; НИГЕР; СЕНЕГАЛ; ТОГО
953|XPF|ФРАНК КФП|НОВАЯ КАЛЕДОНИЯ; ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ; УОЛЛИС И ФУТУНА
960|XDR|СДР (СПЕЦИАЛЬНЫЕ ПРАВА ЗАИМСТВОВАНИЯ)|МЕЖДУНАРОДНЫЙ ВАЛЮТНЫЙ ФОНД (МВФ)
967|ZMW|ЗАМБИЙСКАЯ КВАЧА|ЗАМБИЯ
968|SRD|СУРИНАМСКИЙ ДОЛЛАР|СУРИНАМ
969|MGA|МАЛАГАСИЙСКИЙ АРИАРИ|МАДАГАСКАР
970|COU|ЕДИНИЦА РЕАЛЬНОЙ СТОИМОСТИ|КОЛУМБИЯ
971|AFN|АФГАНИ|АФГАНИСТАН
972|TJS|СОМОНИ|ТАДЖИКИСТАН
973|AOA|КВАНЗА|АНГОЛА
974|BYR|БЕЛОРУССКИЙ РУБЛЬ|БЕЛАРУСЬ
975|BGN|БОЛГАРСКИЙ ЛЕВ|БОЛГАРИЯ
976|CDF|КОНГОЛЕЗСКИЙ ФРАНК|КОНГО, ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА
977|BAM|КОНВЕРТИРУЕМАЯ МАРКА|БОСНИЯ И ГЕРЦЕГОВИНА
978|EUR|ЕВРО|АВСТРИЯ; АНДОРРА; БЕЛЬГИЯ; ГВАДЕЛУПА; ГЕРМАНИЯ; ГРЕЦИЯ; ИРЛАНДИЯ; ИСПАНИЯ; ИТАЛИЯ; КИПР; ЛАТВИЯ; ЛИТВА; ЛЮКСЕМБУРГ; МАЙОТТА; МАЛЬТА; МАРТИНИКА; МОНАКО; НИДЕРЛАНДЫ; ПАПСКИЙ ПРЕСТОЛ (ГОСУДАРСТВО - ГОРОД ВАТИКАН); ПОРТУГАЛИЯ; РЕЮНЬОН; САН-МАРИНО; СЕН-БАРТЕЛЕМИ; СЕН-МАРТЕН (ФРАНЦУЗСКАЯ ЧАСТЬ); СЕНТ-ПЬЕР И МИКЕЛОН; СЛОВАКИЯ; СЛОВЕНИЯ; ФИНЛЯНДИЯ; ФРАНЦИЯ; ФРАНЦУЗСКАЯ ГВИАНА; ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ; ЧЕРНОГОРИЯ; ЭЛАНДСКИЕ ОСТРОВА; ЭСТОНИЯ
980|UAH|ГРИВНА|УКРАИНА
981|GEL|ЛАРИ|ГРУЗИЯ
985|PLN|ЗЛОТЫЙ|ПОЛЬША
986|BRL|БРАЗИЛЬСКИЙ РЕАЛ|БРАЗИЛИЯ
