uuid|guid|name|globalID
251a4096-c3d6-4b0c-8534-65b31d41f633|1a3e2fd8-997c-4f44-80e1-c9e3d3c58960|Сосуд, стеклянный|GR
25b9eab3-0f9f-42c1-912b-10f78bc63901|84a3bdc1-19a5-4778-9fee-52f2563fc255|Штабель|PF
280069cf-3cff-4cb3-a96d-5632944e3f9c|9610cbe3-64c9-447a-ba49-03e3f2aacc66|Поддон в термоусадочной пленке|AG
2834ba2d-8030-4b5d-8812-186ff267f89c|a6a7a4fd-95d6-4ac9-9041-6eab19564cdb|Лоток с двумя настилами без покрытия пластмассовый|DW
28f26068-5294-4c8a-b409-c0a7ae10efd9|62e793a4-2647-4d8c-b99a-14b4b9fca6e0|Стойка, вешалка для одежды|RJ
29f1456b-e328-4f1b-b855-41eda829a9e1|dba6e871-d890-48d0-bbed-3a37d16049e9|Слитки в пакете/пачке/связке|IZ
2b58bc8f-b007-4ef4-808b-a4eedc9df54c|15efd241-05f9-40e3-958a-94d15dc41e5d|Контейнер средней грузоподъемности для массовых грузов из жесткой пластмассы с конструкционным оснащением герметизированный|ZG
2b91c7f0-2705-40a1-a180-64e20626a2a0|b9003509-a846-4f80-9c61-1432cd7b1a63|Короб деревянный (лифтван) размером около 220 см (длина) x 115 см (ширина) x 220 см (высота)|LV
2bbef079-d872-469a-9a38-37101bba2e07|b176058f-eb49-42d3-8aa4-47669161aa61|Корзина из шпона для ягод и фруктов|PJ
2c76df5b-bdf1-4c36-b136-41240961deb0|3193c03c-6297-4ceb-a9aa-9fdc74c953e9|Коробка, фанерная|4D
2ca9172d-edad-4d6f-a4b8-e4fbaae098cb|57e7a24c-329b-49cd-9967-499adf48c5c1|Фляга|FL
2d3b2408-d028-42e1-bc72-941b7fa149b5|93def760-906b-48aa-8f48-d8777ccb11f9|Стойка|RK
2d523fde-44a2-4c21-891b-4bccdcb1a33e|90c0b093-c941-401f-a6a1-30057af63d14|Рулон (обивочного или настилочного материала)|BT
2def57e9-6280-4d7d-8765-840aa86e45e1|5915ee6d-11ef-4f99-b482-59144bd4af1f|Неупакованный или нерасфасованный одноместный груз|NF
2e460cc7-7c38-4bf4-aa19-7768cb14d234|696b556b-fd32-4b05-83e8-1730c64ff476|Комбинированная упаковка: стеклянный сосуд в барабане алюминиевом|YQ
2e53354c-4023-434b-926f-bbdd1af00a37|a9b3e443-0bef-4eab-8787-06831c6178d9|Барабан алюминиевый с несъемным днищем|QC
2f2ba5e2-c9ab-41af-83d8-592f65c01db4|b6ea4d40-1efb-4f48-8231-a13291e7b802|Стеллаж|SI
3050ca0a-7e39-4cd4-a762-253b981bad21|cb37ff07-22e2-4fe2-b12e-d30267903486|Навалом металлолом|VS
315646b0-01b2-4728-ab20-39911b080c26|018450a1-9dab-4faf-9e07-5397be1a40e2|Канистра, стальная|3A
31ff0ebc-8b93-4ab4-9e6f-04dcab641eb2|69a0a352-2eba-462a-aee7-9be669fa4081|Кипа, неспрессованная|BN
322566af-9e46-4f63-bf22-041d4d2d9c58|ff9bbcaf-131f-4e2d-bbeb-d8b3b054e1b5|Сосуд с пластмассовым покрытием|MW
32936c38-e9fa-439b-8108-5b7e3c482f6c|a8a2fb28-c4eb-48d9-b752-bd21d41004e5|Комбинированная упаковка: стеклянный сосуд в корзине плетеной с крышкой|YV
34e245a7-cd7c-4d8b-a436-482dcbcf1f38|8eb7fa55-7b61-4880-8100-dc8d907425a3|Бидон|CC
354aee98-06a3-4780-bc9a-00a57edd8ca7|199655ba-3bf7-4183-817b-a592fda4a2c1|Чехол|CV
3614ce14-9970-453c-81df-9645c4c5fe2c|169160be-aaaa-40f6-b762-eba8772d693b|Лоток с одним настилом без покрытия пластмассовый|DS
3630beae-fe03-49ff-9264-93925ca7ce80|3481b7ad-7f3b-451b-80c6-b32b14faa5b5|Бочка (емкостью около 164 л)|BA
37495e99-e19f-4221-97e8-39565c0192b8|2546fe09-f832-46ed-83c4-0046a23ffc8a|Бочка деревянная (емкостью около 200 л)|TI
380c561e-749a-4408-88de-ad5399c8a53f|fc68e8a2-415c-48c6-9cc3-724ab15c528d|Комбинированная упаковка: стеклянный сосуд|6P
3850fb20-746c-4001-827c-5825630f7ce7|fd33ba62-fd67-4513-831f-27a187ebfbb4|Контейнер средней грузоподъемности для твердых навалочных/насыпных грузов составной из жесткой пластмассы|ZL
3a762c62-7b9e-4ccc-95e7-50fed26da877|8b7bdbd6-8d89-43bf-8c48-8fc1718e40b0|Контейнер средней грузоподъемности для массовых грузов герметизированный свыше 10 КПа|WG
3ae14a0a-3970-45ef-bd53-f278e217bf4f|e9f3ecc7-9dae-4e7d-a690-55d4268fdc21|Кувшин, большой|PH
3c78e2e1-d19a-40d3-b970-4fe6d2b722d0|0f2c027f-b007-4857-babf-06c9bf658346|Бочка (емкостью около 164 л) деревянная со съемным днищем|QJ
3cb38979-51da-44a5-8bdc-8f549bb0aa68|f88ac7e2-3854-44ea-a221-0e0ce4c29e4b|Конверт|EN
3d01bd9f-6629-4ec1-9ebe-532d82379a14|1aa4dc95-1b4a-4845-b4ea-61458039520c|Ящик деревянный|8B
3d3bf9e3-12bb-4f0c-82ab-c79df71fcfdf|f1f308ed-a779-4763-8cfb-cf2e4e0a089e|Контейнер средней грузоподъемности для массовых грузов из полимерной ткани с покрытием|WP
3d72e4ec-f771-4c0d-a9b9-452dd7a08406|de9ec880-de49-4d6f-9d62-377f4b3e3b5e|Лоток|PU
3dca7c38-3a10-4fb6-9c1f-0c64ab79d63b|10f09b3d-ce70-4084-83f3-1b2d7a7fa6c9|Доска толстая в пакете/пачке/связке|PZ
3e311a74-00dd-4554-b656-748aa45cc069|c44c92da-0cab-4ed7-8695-91602d9e581a|Бутыль оплетенная большая (емкостью от 9 до 54 л) защищенная|DP
3ea227b5-df09-40c2-b802-8abd1427c73e|d3991117-ab9f-48f6-abce-09d762757405|Ящик решетчатый для фруктов|FC
3fd40265-127d-4fc6-9999-1cdf62f25faf|c81af41c-cd40-4c24-9450-3d83106aed19|Неупакованный или нерасфасованный многоместный груз|NG
40c8a0db-74c9-4190-9449-6f3f8ac2eaa7|fd4f0952-281d-4128-988c-cc180002627b|Комбинированная упаковка: стеклянный сосуд в барабане фибровом|YW
4195a944-7c45-44e9-9cf9-d366386ad86e|9ef685c4-2901-4400-8c62-8b6d811d015b|Комбинированная упаковка: стеклянный сосуд в коробке деревянной|YS
41e9ff79-b6c4-46e7-a2d4-6f5bf3ee1002|5e80ee1e-5ce8-4fde-ad0c-b81f0ac91f86|Бобина|BB
